(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (c̄) . (b̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (b̄+c) . (a), (b̄+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (b̄+c̄) . (a), (b̄+c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b̄+c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b̄+c) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c̄) . (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (b+c̄) . (b̄+c) . (a), (b̄+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (c̄) . (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (c̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b+c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (c̄) . (b̄) . (a), (b̄) . (a)<br/> IKNF<sub>2</sub>, (c̄) . (a)
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b+c̄) . (b̄+c) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c̄) . (b̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c), (c) . (b) . (a), (c) . (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c̄), (c̄) . (b) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (c̄) . (b) . (a), (b) . (a)<br/> IKNF<sub>2</sub>, (c̄) . (a)
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c̄), 0, empty, empty
