ābcd, ābcd, ābcd, empty
ābcd + ab̄cd + abc̄d + abcd̄, ābcd + ab̄cd + abc̄d + abcd̄, ābcd + ab̄cd + abc̄d + abcd̄, empty
ābcd + ab̄cd + abc̄d + abcd̄ + abcd, bcd + acd + abd + abc, bcd + acd + abd + abc, empty
ābcd + ab̄cd + abc̄d + abcd̄, bcd + acd + abd + abc, bcd + acd + abd + abc, empty
ābcd + ab̄cd + abc̄d, ābcd + ab̄cd + abc̄d, ābcd + ab̄cd + abc̄d, empty
ābcd + ab̄cd + abc̄d + abcd, bcd + acd + abd + abc, bcd + acd + abd, empty
ābcd + ab̄cd + abc̄d, bcd + acd + abd, bcd + acd + abd, empty
ābcd + ab̄cd, ābcd + ab̄cd, ābcd + ab̄cd, empty
ābcd + ab̄cd + abcd, bcd + acd + abd, bcd + acd, empty
ābcd + ab̄cd, bcd + acd, bcd + acd, empty
ābcd + ab̄cd + abcd̄, ābcd + ab̄cd + abcd̄, ābcd + ab̄cd + abcd̄, empty
ābcd + ab̄cd + abcd̄ + abcd, bcd + acd + abd + abc, bcd + acd + abc, empty
ābcd + ab̄cd + abcd̄, bcd + acd + abc, bcd + acd + abc, empty
ābcd + ab̄cd, ābcd + ab̄cd, ābcd + ab̄cd, empty
ābcd + ab̄cd + abcd, bcd + acd + abd + abc, bcd + acd, empty
ābcd + ab̄cd, bcd + acd, bcd + acd, empty
ābcd + ab̄cd + abc̄d̄, ābcd + ab̄cd + abc̄d̄, ābcd + ab̄cd + abc̄d̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd, bcd + acd + abc̄d̄, bcd + acd + abc̄d̄, empty
ābcd + ab̄cd + abc̄d̄, bcd + acd + abc̄d̄, bcd + acd + abc̄d̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd̄, ābcd + ab̄cd + abd̄, ābcd + ab̄cd + abd̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd̄ + abcd, bcd + acd + abd̄ + abc, bcd + acd + abd̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd̄, bcd + acd + abd̄ + abc, bcd + acd + abd̄, empty
ābcd + ab̄cd + abc̄d̄, ābcd + ab̄cd + abd̄, ābcd + ab̄cd + abd̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd, bcd + acd + abd̄ + abc, bcd + acd + abd̄, empty
ābcd + ab̄cd + abc̄d̄, bcd + acd + abd̄, bcd + acd + abd̄, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d, ābcd + ab̄cd + abc̄, ābcd + ab̄cd + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d + abcd, bcd + acd + abd + abc̄, bcd + acd + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d, bcd + acd + abd + abc̄, bcd + acd + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d + abcd̄, ābcd + ab̄cd + abd̄ + abc̄, ābcd + ab̄cd + abd̄ + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d + abcd̄, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d, ābcd + ab̄cd + abd̄ + abc̄, ābcd + ab̄cd + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d̄ + abc̄d, bcd + acd + ab, bcd + acd + ab, empty
