ābcd, ābcd, ābcd, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d, ābcd + ad̄ + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d + abcd, bcd + ad̄ + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d, bcd + ad̄ + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄, ābcd + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄, bcd + ac̄, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄, ābcd + ad̄ + ac̄, ābcd + ad̄ + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄ + abcd, bcd + ad̄ + ac̄ + ab, bcd + ac̄ + ab, bcd + ad̄ + ac̄
ābcd + ab̄c̄d + abc̄d̄ + abcd̄, bcd + ad̄ + ac̄ + ab, bcd + ac̄ + ab, bcd + ad̄ + ac̄
ābcd + ab̄c̄d + abc̄d̄, ābcd + ad̄ + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd, bcd + ad̄ + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄, bcd + ad̄ + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d, ābcd + ab̄c̄, ābcd + ab̄c̄, empty
ābcd + ab̄c̄d + abcd, bcd + ab̄c̄, bcd + ab̄c̄, empty
ābcd + ab̄c̄d, bcd + ab̄c̄, bcd + ab̄c̄, empty
ābcd + ab̄c̄d + abcd̄, ābcd + ad̄ + ab̄c̄, ābcd + ad̄ + ab̄c̄, empty
ābcd + ab̄c̄d + abcd̄ + abcd, bcd + ad̄ + ab̄c̄ + abc, bcd + ab̄c̄ + abc, bcd + ad̄ + ab̄c̄
ābcd + ab̄c̄d + abcd̄, bcd + ad̄ + ab̄c̄ + abc, bcd + ab̄c̄ + abc, bcd + ad̄ + ab̄c̄
ābcd + ab̄c̄d, ābcd + ab̄c̄, ābcd + ab̄c̄, empty
ābcd + ab̄c̄d + abcd, bcd + ab̄c̄ + abc, bcd + ab̄c̄, empty
ābcd + ab̄c̄d, bcd + ab̄c̄, bcd + ab̄c̄, empty
ābcd + ab̄c̄d + abc̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd̄, ābcd + ad̄ + ac̄, ābcd + ad̄ + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd̄ + abcd, bcd + ad̄ + ac̄ + ab, bcd + ac̄ + ab, bcd + ad̄ + ac̄
ābcd + ab̄c̄d + abc̄d + abcd̄, bcd + ad̄ + ac̄ + ab, bcd + ac̄ + ab, bcd + ad̄ + ac̄
ābcd + ab̄c̄d + abc̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd, bcd + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d, bcd + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abcd, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + ab̄c̄d, bcd + ac̄, bcd + ac̄, empty
ābcd + ab̄c̄d + abcd̄, ābcd + ad̄ + ac̄, ābcd + ad̄ + ac̄, empty
ābcd + ab̄c̄d + abcd̄ + abcd, bcd + ad̄ + ac̄ + ab, bcd + ac̄ + ab, bcd + ad̄ + ac̄
ābcd + ab̄c̄d + abcd̄, bcd + ad̄ + ac̄ + ab, bcd + ac̄ + ab, bcd + ad̄ + ac̄
ābcd + ab̄c̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abcd, bcd + ac̄ + ab, bcd + ac̄, empty
ābcd + ab̄c̄d, bcd + ac̄, bcd + ac̄, empty
ābcd + ab̄c̄d + ab̄cd, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + acd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd, bcd + acd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄, ābcd + acd̄ + ab̄, ābcd + acd̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄ + abcd, bcd + ac + ab̄, bcd + ac + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄, bcd + ac + ab̄, bcd + ac + ab̄, empty
ābcd + ab̄c̄d + ab̄cd, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + ac + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd, bcd + ac + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, ābcd + ac̄d + ab̄, ābcd + ac̄d + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd, bcd + ad + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, bcd + ad + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd̄, ābcd + ac̄d + acd̄ + ab̄, ābcd + ac̄d + acd̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd̄ + abcd, bcd + ad + ac + ab̄, bcd + ad + ac, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd̄, bcd + ad + ac + ab̄, bcd + ad + ac, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, ābcd + ac̄d + ab̄, ābcd + ac̄d + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd, bcd + ad + ac + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, bcd + ad + ac + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + ab̄cd, ābcd + ac̄d + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + ad + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd, bcd + ad + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd + abcd̄, ābcd + ac̄d + acd̄ + ab̄, ābcd + acd̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄ + abcd, bcd + ad + ac + ab̄, bcd + ac + ab̄, bcd + ad + ac
ābcd + ab̄c̄d + ab̄cd + abcd̄, bcd + ad + ac + ab̄, bcd + ac + ab̄, bcd + ad + ac
ābcd + ab̄c̄d + ab̄cd, ābcd + ac̄d + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + ad + ac + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd, bcd + ad + ac + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, ābcd + ac̄d̄ + ab̄, ābcd + ac̄d̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd, bcd + ac̄d̄ + acd + ab̄, bcd + ac̄d̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, bcd + ac̄d̄ + acd + ab̄, bcd + ac̄d̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄ + abcd, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d, ābcd + ac̄ + ab̄, ābcd + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d + abcd, bcd + ad + ac̄ + ab̄, bcd + ac̄ + ab̄, bcd + ad + ac̄
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d, bcd + ad + ac̄ + ab̄, bcd + ac̄ + ab̄, bcd + ad + ac̄
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d, ābcd + ad̄ + ac̄ + ab̄, ābcd + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, ābcd + ac̄ + ab̄, ābcd + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd, bcd + ad + ac̄ + ab̄, bcd + ac̄ + ab̄, bcd + ad + ac̄
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, bcd + ad + ac̄ + ab̄, bcd + ac̄ + ab̄, bcd + ad + ac̄
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ac̄ + ab̄, ābcd + ad̄ + ab̄
ābcd + ab̄c̄d + ab̄cd + abc̄d̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + acd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd, bcd + acd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄ + abcd, bcd + ad̄ + ac + ab̄, bcd + ac + ab̄, bcd + ad̄ + ab̄
ābcd + ab̄c̄d + ab̄cd + abcd̄, bcd + ad̄ + ac + ab̄, bcd + ac + ab̄, bcd + ad̄ + ab̄
ābcd + ab̄c̄d + ab̄cd, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + ac + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd, bcd + ac + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, ābcd + ac̄ + ab̄, ābcd + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd, bcd + ad + ac̄ + ab̄, bcd + ac̄ + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd + abc̄d, bcd + ad + ac̄ + ab̄, bcd + ac̄ + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, ābcd + ac̄ + ab̄, ābcd + ac̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abc̄d, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd, ābcd + ac̄ + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + ad + ac̄ + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd, bcd + ad + ac̄ + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + ab̄cd + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd, ābcd + ac̄ + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + ab̄cd + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + ab̄cd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + abcd, bcd + acd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d, bcd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + abcd̄, ābcd + acd̄ + ab̄, ābcd + acd̄ + ab̄, empty
ābcd + ab̄c̄d + abcd̄ + abcd, bcd + ac + ab̄, bcd + ac + ab̄, empty
ābcd + ab̄c̄d + abcd̄, bcd + ac + ab̄, bcd + ac + ab̄, empty
ābcd + ab̄c̄d, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + abcd, bcd + ac + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d, bcd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + abc̄d, ābcd + ac̄d + ab̄, ābcd + ac̄d, empty
ābcd + ab̄c̄d + abc̄d + abcd, bcd + ad + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + abc̄d, bcd + ad + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + abc̄d + abcd̄, ābcd + ac̄d + acd̄ + ab̄, ābcd + ac̄d + acd̄, empty
ābcd + ab̄c̄d + abc̄d + abcd̄ + abcd, bcd + ad + ac + ab̄, bcd + ad + ac, empty
ābcd + ab̄c̄d + abc̄d + abcd̄, bcd + ad + ac + ab̄, bcd + ad + ac, empty
ābcd + ab̄c̄d + abc̄d, ābcd + ac̄d + ab̄, ābcd + ac̄d, empty
ābcd + ab̄c̄d + abc̄d + abcd, bcd + ad + ac + ab̄, bcd + ad, empty
ābcd + ab̄c̄d + abc̄d, bcd + ad + ab̄, bcd + ad, empty
ābcd + ab̄c̄d, ābcd + ac̄d + ab̄, ābcd + ab̄, ābcd + ac̄d
ābcd + ab̄c̄d + abcd, bcd + ad + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d, bcd + ad + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + abcd̄, ābcd + ac̄d + acd̄ + ab̄, ābcd + acd̄ + ab̄, ābcd + ac̄d + acd̄
ābcd + ab̄c̄d + abcd̄ + abcd, bcd + ad + ac + ab̄, bcd + ac + ab̄, bcd + ad + ac
ābcd + ab̄c̄d + abcd̄, bcd + ad + ac + ab̄, bcd + ac + ab̄, bcd + ad + ac
ābcd + ab̄c̄d, ābcd + ac̄d + ab̄, ābcd + ab̄, ābcd + ac̄d
ābcd + ab̄c̄d + abcd, bcd + ad + ac + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d, bcd + ad + ab̄, bcd + ab̄, bcd + ad
ābcd + ab̄c̄d + abc̄d̄, ābcd + ac̄d̄ + ab̄, ābcd + ac̄d̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd, bcd + ac̄d̄ + acd + ab̄, bcd + ac̄d̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄, bcd + ac̄d̄ + ab̄, bcd + ac̄d̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄ + abcd, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd, bcd + ad̄ + ac + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄, bcd + ad̄ + ab̄, bcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d, ābcd + ac̄ + ab̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d + abcd, bcd + ad + ac̄ + ab̄, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d, bcd + ad + ac̄ + ab̄, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d, ābcd + ad̄ + ac̄ + ab̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄ + abc̄d, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄, ābcd + ac̄ + ab̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd, bcd + ad + ac̄ + ab̄, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄, bcd + ad + ac̄ + ab̄, bcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ac̄
ābcd + ab̄c̄d + abc̄d̄ + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄ + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ac̄, ābcd + ad̄ + ab̄
ābcd + ab̄c̄d + abc̄d̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + abcd, bcd + acd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d, bcd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + abcd̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ab̄, empty
ābcd + ab̄c̄d + abcd̄ + abcd, bcd + ad̄ + ac + ab̄, bcd + ac + ab̄, bcd + ad̄ + ab̄
ābcd + ab̄c̄d + abcd̄, bcd + ad̄ + ac + ab̄, bcd + ac + ab̄, bcd + ad̄ + ab̄
ābcd + ab̄c̄d, ābcd + ab̄, ābcd + ab̄, empty
ābcd + ab̄c̄d + abcd, bcd + ac + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d, bcd + ab̄, bcd + ab̄, empty
ābcd + ab̄c̄d + abc̄d, ābcd + ac̄ + ab̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd, bcd + ad + ac̄ + ab̄, bcd + ac̄, bcd + ad
ābcd + ab̄c̄d + abc̄d, bcd + ad + ac̄ + ab̄, bcd + ac̄, bcd + ad
ābcd + ab̄c̄d + abc̄d + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d, ābcd + ac̄ + ab̄, ābcd + ac̄, empty
ābcd + ab̄c̄d + abc̄d + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abc̄d, bcd + a, bcd + a, empty
ābcd + ab̄c̄d, ābcd + ac̄ + ab̄, ābcd + ab̄, ābcd + ac̄
ābcd + ab̄c̄d + abcd, bcd + ad + ac̄ + ab̄, empty, empty
ābcd + ab̄c̄d, bcd + ad + ac̄ + ab̄, empty, empty
ābcd + ab̄c̄d + abcd̄, ābcd + ad̄ + ac̄ + ab̄, ābcd + ad̄ + ab̄, ābcd + ad̄ + ac̄
ābcd + ab̄c̄d + abcd̄ + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d + abcd̄, bcd + a, bcd + a, empty
ābcd + ab̄c̄d, ābcd + ac̄ + ab̄, ābcd + ab̄, ābcd + ac̄
ābcd + ab̄c̄d + abcd, bcd + a, bcd + a, empty
ābcd + ab̄c̄d, bcd + a, bcd + a, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abcd̄, ābcd + abcd̄, empty
ābcd + abcd̄ + abcd, bcd + abc, bcd + abc, empty
ābcd + abcd̄, bcd + abc, bcd + abc, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d, ābcd + ac̄d, ābcd + ac̄d, empty
ābcd + abc̄d + abcd, bcd + ac̄d + abd, bcd + abd, bcd + ac̄d
ābcd + abc̄d, bcd + ac̄d + abd, bcd + abd, bcd + ac̄d
ābcd + abc̄d + abcd̄, ābcd + ac̄d + abcd̄, ābcd + ac̄d + abcd̄, empty
ābcd + abc̄d + abcd̄ + abcd, bcd + ac̄d + abd + abc, bcd + abd + abc, bcd + ac̄d + abc
ābcd + abc̄d + abcd̄, bcd + ac̄d + abd + abc, bcd + abd + abc, bcd + ac̄d + abc
ābcd + abc̄d, ābcd + ac̄d, ābcd + ac̄d, empty
ābcd + abc̄d + abcd, bcd + ac̄d + abd + abc, bcd + abd, bcd + ac̄d
ābcd + abc̄d, bcd + ac̄d + abd, bcd + abd, bcd + ac̄d
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abcd̄, ābcd + abcd̄, empty
ābcd + abcd̄ + abcd, bcd + abd + abc, bcd + abc, empty
ābcd + abcd̄, bcd + abc, bcd + abc, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d̄, ābcd + ac̄d̄, ābcd + ac̄d̄, empty
ābcd + abc̄d̄ + abcd, bcd + ac̄d̄, bcd + ac̄d̄, empty
ābcd + abc̄d̄, bcd + ac̄d̄, bcd + ac̄d̄, empty
ābcd + abc̄d̄ + abcd̄, ābcd + ac̄d̄ + abd̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄ + abcd, bcd + ac̄d̄ + abd̄ + abc, bcd + abd̄, bcd + ac̄d̄ + abc
ābcd + abc̄d̄ + abcd̄, bcd + ac̄d̄ + abd̄ + abc, bcd + abd̄, bcd + ac̄d̄ + abc
ābcd + abc̄d̄, ābcd + ac̄d̄ + abd̄, ābcd + abd̄, ābcd + ac̄d̄
ābcd + abc̄d̄ + abcd, bcd + ac̄d̄ + abd̄ + abc, bcd + abd̄, bcd + ac̄d̄
ābcd + abc̄d̄, bcd + ac̄d̄ + abd̄, bcd + abd̄, bcd + ac̄d̄
ābcd + abc̄d̄ + abc̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + abc̄d̄ + abc̄d + abcd, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + abc̄d̄ + abc̄d, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + abc̄d̄ + abc̄d + abcd̄, ābcd + ac̄ + abd̄, ābcd + ac̄ + abd̄, empty
ābcd + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + ac̄ + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d + abcd̄, bcd + ac̄ + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d, ābcd + ac̄ + abd̄, ābcd + ac̄, empty
ābcd + abc̄d̄ + abc̄d + abcd, bcd + ac̄ + ab, bcd + ab, bcd + ac̄
ābcd + abc̄d̄ + abc̄d, bcd + ac̄ + ab, bcd + ab, bcd + ac̄
ābcd + abc̄d̄, ābcd + ac̄, ābcd + ac̄, empty
ābcd + abc̄d̄ + abcd, bcd + ac̄ + abd, bcd + ac̄, empty
ābcd + abc̄d̄, bcd + ac̄, bcd + ac̄, empty
ābcd + abc̄d̄ + abcd̄, ābcd + ac̄ + abd̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄ + abcd, bcd + ac̄ + ab, bcd + ab, empty
ābcd + abc̄d̄ + abcd̄, bcd + ac̄ + ab, bcd + ab, empty
ābcd + abc̄d̄, ābcd + ac̄ + abd̄, ābcd + abd̄, ābcd + ac̄
ābcd + abc̄d̄ + abcd, bcd + ac̄ + ab, bcd + ab, bcd + ac̄
ābcd + abc̄d̄, bcd + ac̄ + ab, bcd + ab, bcd + ac̄
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abcd̄ + abcd, bcd + abd̄ + abc, bcd + abc, bcd + abd̄
ābcd + abcd̄, bcd + abd̄ + abc, bcd + abc, bcd + abd̄
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + abc̄d + abcd, bcd + ac̄ + abd, bcd + abd, bcd + ac̄
ābcd + abc̄d, bcd + ac̄ + abd, bcd + abd, bcd + ac̄
ābcd + abc̄d + abcd̄, ābcd + ac̄ + abd̄, ābcd + ac̄ + abd̄, empty
ābcd + abc̄d + abcd̄ + abcd, bcd + ac̄ + ab, bcd + ab, empty
ābcd + abc̄d + abcd̄, bcd + ac̄ + ab, bcd + ab, empty
ābcd + abc̄d, ābcd + ac̄, ābcd + ac̄, empty
ābcd + abc̄d + abcd, bcd + ac̄ + ab, bcd + ab, bcd + ac̄
ābcd + abc̄d, bcd + ac̄ + ab, bcd + ab, bcd + ac̄
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + abd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abcd̄ + abcd, bcd + ab, bcd + ab, empty
ābcd + abcd̄, bcd + ab, bcd + ab, empty
ābcd, ābcd, ābcd, empty
