empty, 0, empty, empty
ābc + ab̄c + abc̄, c + b, c + b, empty
ābc + ab̄c, b̄c + āc + āb, b̄c + āb, b̄c + āc
ābc + ab̄c + abc, c + b, c, empty
ābc + ab̄c, c + b, c, empty
ābc, āc + āb, āb, āc
ābc + abc, c + āb, c, empty
ābc, c + āb, āb, c
ābc + abc̄, bc̄ + āc + āb, bc̄ + āb, bc̄ + āc
ābc + abc̄ + abc, c + b, b, empty
ābc + abc̄, c + b, b, empty
ābc, āc + āb, āb, āc
ābc + abc, c + b, b, c
ābc, c + b, b, c
ābc + ab̄c̄, āc + āb + ab̄c̄, āb + ab̄c̄, āc + ab̄c̄
ābc + ab̄c̄ + abc, bc + āc + āb + ab̄c̄, bc + ab̄c̄, empty
ābc + ab̄c̄, bc + āc + āb + ab̄c̄, empty, empty
ābc + ab̄c̄ + abc̄, bc̄ + āc + āb + ac̄, āb + ac̄, āc + ac̄
ābc + ab̄c̄ + abc̄ + abc, b + āc + ac̄, b + ac̄, empty
ābc + ab̄c̄ + abc̄, b + āc + ac̄, āc + ac̄, b + ac̄
ābc + ab̄c̄, āc + āb + ac̄, āb + ac̄, āc + ac̄
ābc + ab̄c̄ + abc, b + āc + ac̄, b + ac̄, empty
ābc + ab̄c̄, b + āc + ac̄, āc + ac̄, b + ac̄
ābc + ab̄c̄ + ab̄c, b̄c + āc + āb + ab̄, āb + ab̄, āc + ab̄
ābc + ab̄c̄ + ab̄c + abc, c + āb + ab̄, c + ab̄, empty
ābc + ab̄c̄ + ab̄c, c + āb + ab̄, āb + ab̄, c + ab̄
ābc + ab̄c̄ + ab̄c + abc̄, b̄c + bc̄ + āc + āb + ac̄ + ab̄, empty, empty
ābc + ab̄c̄ + ab̄c + abc̄ + abc, c + b + a, b + a, c + a
ābc + ab̄c̄ + ab̄c + abc̄, c + b + a, b + a, c + a
ābc + ab̄c̄ + ab̄c, b̄c + āc + āb + ac̄ + ab̄, empty, empty
ābc + ab̄c̄ + ab̄c + abc, c + b + a, b + a, c + a
ābc + ab̄c̄ + ab̄c, c + b + a, b + a, c + a
ābc + ab̄c̄, āc + āb + ab̄, āb + ab̄, āc + ab̄
ābc + ab̄c̄ + abc, c + āb + ab̄, c + ab̄, empty
ābc + ab̄c̄, c + āb + ab̄, āb + ab̄, c + ab̄
ābc + ab̄c̄ + abc̄, bc̄ + āc + āb + ac̄ + ab̄, empty, empty
ābc + ab̄c̄ + abc̄ + abc, c + b + a, b + a, c + a
ābc + ab̄c̄ + abc̄, c + b + a, b + a, c + a
ābc + ab̄c̄, āc + āb + ac̄ + ab̄, empty, empty
ābc + ab̄c̄ + abc, c + b + a, b + a, c + a
ābc + ab̄c̄, c + b + a, b + a, c + a
ābc, āc + āb, āb, āc
ābc + abc, bc + āc + āb, bc, empty
ābc, bc + āc + āb, empty, empty
ābc + abc̄, bc̄ + āc + āb + ac̄, empty, empty
ābc + abc̄ + abc, b + āc + ac̄, b, empty
ābc + abc̄, b + āc + ac̄, āc + ac̄, b
ābc, āc + āb, āb, āc
ābc + abc, b + āc, b, empty
ābc, b + āc, āc, b
ābc + ab̄c, b̄c + āc + āb + ab̄, empty, empty
ābc + ab̄c + abc, c + āb + ab̄, c, empty
ābc + ab̄c, c + āb + ab̄, āb + ab̄, c
ābc + ab̄c + abc̄, b̄c + bc̄ + āc + āb + ac̄ + ab̄, empty, empty
ābc + ab̄c + abc̄ + abc, c + b + a, empty, empty
ābc + ab̄c + abc̄, c + b + a, empty, empty
ābc + ab̄c, b̄c + āc + āb + ab̄, empty, empty
ābc + ab̄c + abc, c + b + a, b + a, c
ābc + ab̄c, c + b + a, b + a, c
ābc, āc + āb, āb, āc
ābc + abc, c + āb, c, empty
ābc, c + āb, āb, c
ābc + abc̄, bc̄ + āc + āb + ac̄, empty, empty
ābc + abc̄ + abc, c + b + a, b, c + a
ābc + abc̄, c + b + a, b, c + a
ābc, āc + āb, āb, āc
ābc + abc, c + b + a, b, c
ābc, c + b, b, c
empty, empty, empty, empty
abc, bc, bc, empty
empty, empty, empty, empty
abc̄, bc̄, bc̄, empty
abc̄ + abc, b, b, empty
abc̄, b, b, empty
empty, empty, empty, empty
abc, b, b, empty
empty, empty, empty, empty
ab̄c, b̄c, b̄c, empty
ab̄c + abc, c, c, empty
ab̄c, c, c, empty
ab̄c + abc̄, b̄c + bc̄, b̄c + bc̄, empty
ab̄c + abc̄ + abc, c + b, c + b, empty
ab̄c + abc̄, c + b, c + b, empty
ab̄c, b̄c, b̄c, empty
ab̄c + abc, c + b, c, empty
ab̄c, c, c, empty
empty, empty, empty, empty
abc, c, c, empty
empty, empty, empty, empty
abc̄, bc̄, bc̄, empty
abc̄ + abc, c + b, b, empty
abc̄, b, b, empty
empty, empty, empty, empty
abc, c + b, b, c
empty, empty, empty, empty
ab̄c̄, ab̄c̄, ab̄c̄, empty
ab̄c̄ + abc, bc + ab̄c̄, bc + ab̄c̄, empty
ab̄c̄, ab̄c̄, ab̄c̄, empty
ab̄c̄ + abc̄, bc̄ + ac̄, ac̄, empty
ab̄c̄ + abc̄ + abc, b + ac̄, b + ac̄, empty
ab̄c̄ + abc̄, b + ac̄, ac̄, empty
ab̄c̄, ac̄, ac̄, empty
ab̄c̄ + abc, b + ac̄, b + ac̄, empty
ab̄c̄, ac̄, ac̄, empty
ab̄c̄ + ab̄c, b̄c + ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc, c + ab̄, c + ab̄, empty
ab̄c̄ + ab̄c, c + ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc̄, b̄c + bc̄ + ac̄ + ab̄, empty, empty
ab̄c̄ + ab̄c + abc̄ + abc, c + b + a, a, empty
ab̄c̄ + ab̄c + abc̄, c + b + a, a, empty
ab̄c̄ + ab̄c, b̄c + ac̄ + ab̄, ab̄, b̄c + ac̄
ab̄c̄ + ab̄c + abc, c + b + a, a, empty
ab̄c̄ + ab̄c, c + a, a, empty
ab̄c̄, ab̄, ab̄, empty
ab̄c̄ + abc, c + ab̄, c + ab̄, empty
ab̄c̄, ab̄, ab̄, empty
ab̄c̄ + abc̄, bc̄ + ac̄ + ab̄, ac̄, bc̄ + ab̄
ab̄c̄ + abc̄ + abc, c + b + a, a, empty
ab̄c̄ + abc̄, b + a, a, empty
ab̄c̄, ac̄ + ab̄, ab̄, ac̄
ab̄c̄ + abc, c + b + a, a, empty
ab̄c̄, a, a, empty
empty, empty, empty, empty
abc, bc, bc, empty
empty, empty, empty, empty
abc̄, bc̄ + ac̄, ac̄, bc̄
abc̄ + abc, b + ac̄, b, empty
abc̄, b + ac̄, ac̄, b
empty, empty, empty, empty
abc, b, b, empty
empty, empty, empty, empty
ab̄c, b̄c + ab̄, ab̄, b̄c
ab̄c + abc, c + ab̄, c, empty
ab̄c, c + ab̄, ab̄, c
ab̄c + abc̄, b̄c + bc̄ + ac̄ + ab̄, empty, empty
ab̄c + abc̄ + abc, c + b + a, a, c + b
ab̄c + abc̄, c + b + a, a, c + b
ab̄c, b̄c + ab̄, ab̄, b̄c
ab̄c + abc, c + b + a, a, c
ab̄c, c + a, a, c
empty, empty, empty, empty
abc, c, c, empty
empty, empty, empty, empty
abc̄, bc̄ + ac̄, ac̄, bc̄
abc̄ + abc, c + b + a, a, b
abc̄, b + a, a, b
empty, empty, empty, empty
abc, c + b + a, empty, empty
empty, empty, empty, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, āb̄c̄ + abc, āb̄c̄ + abc, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc̄, āb̄c̄ + abc̄, āb̄c̄ + abc̄, empty
āb̄c̄ + abc̄ + abc, āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄ + abc̄, āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, empty
āb̄c̄ + ab̄c + abc, āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄ + ab̄c, āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄ + ab̄c + abc̄, āb̄c̄ + ab̄c + abc̄, āb̄c̄ + ab̄c + abc̄, empty
āb̄c̄ + ab̄c + abc̄ + abc, āb̄c̄ + ac + ab, āb̄c̄ + ac + ab, empty
āb̄c̄ + ab̄c + abc̄, āb̄c̄ + ac + ab, āb̄c̄ + ac + ab, empty
āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, empty
āb̄c̄ + ab̄c + abc, āb̄c̄ + ac + ab, āb̄c̄ + ac, empty
āb̄c̄ + ab̄c, āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc̄, āb̄c̄ + abc̄, āb̄c̄ + abc̄, empty
āb̄c̄ + abc̄ + abc, āb̄c̄ + ac + ab, āb̄c̄ + ab, empty
āb̄c̄ + abc̄, āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, āb̄c̄ + ac + ab, āb̄c̄ + ab, āb̄c̄ + ac
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + ab̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + abc, b̄c̄ + abc, empty
āb̄c̄ + ab̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + ac̄, b̄c̄ + ac̄, empty
āb̄c̄ + ab̄c̄ + abc̄ + abc, b̄c̄ + ac̄ + ab, b̄c̄ + ab, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + ac̄ + ab, b̄c̄ + ab, b̄c̄ + ac̄
āb̄c̄ + ab̄c̄, b̄c̄ + ac̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + ac̄ + ab, b̄c̄ + ab, empty
āb̄c̄ + ab̄c̄, b̄c̄ + ac̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + ab̄, b̄c̄ + ab̄, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc, b̄c̄ + ac + ab̄, b̄c̄ + ac, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + ac + ab̄, b̄c̄ + ab̄, b̄c̄ + ac
āb̄c̄ + ab̄c̄ + ab̄c + abc̄, b̄c̄ + ac̄ + ab̄, b̄c̄ + ac̄ + ab̄, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc̄ + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc̄, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + ac̄ + ab̄, b̄c̄ + ab̄, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄, b̄c̄ + ab̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + ac + ab̄, b̄c̄ + ac, empty
āb̄c̄ + ab̄c̄, b̄c̄ + ab̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + ac̄ + ab̄, b̄c̄ + ac̄, empty
āb̄c̄ + ab̄c̄ + abc̄ + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄, b̄c̄ + ac̄ + ab̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄, b̄c̄ + a, b̄c̄, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + abc, b̄c̄ + abc, b̄c̄ + abc, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + abc̄, b̄c̄ + ac̄, b̄c̄ + ac̄, empty
āb̄c̄ + abc̄ + abc, b̄c̄ + ac̄ + ab, b̄c̄ + ab, empty
āb̄c̄ + abc̄, b̄c̄ + ac̄ + ab, b̄c̄ + ab, b̄c̄ + ac̄
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + abc, b̄c̄ + ab, b̄c̄ + ab, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + ab̄c, b̄c̄ + ab̄, b̄c̄ + ab̄, empty
āb̄c̄ + ab̄c + abc, b̄c̄ + ac + ab̄, b̄c̄ + ac, empty
āb̄c̄ + ab̄c, b̄c̄ + ac + ab̄, b̄c̄ + ab̄, b̄c̄ + ac
āb̄c̄ + ab̄c + abc̄, b̄c̄ + ac̄ + ab̄, b̄c̄ + ac̄ + ab̄, empty
āb̄c̄ + ab̄c + abc̄ + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c + abc̄, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c, b̄c̄ + ab̄, b̄c̄ + ab̄, empty
āb̄c̄ + ab̄c + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + abc, b̄c̄ + ac, b̄c̄ + ac, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + abc̄, b̄c̄ + ac̄, b̄c̄ + ac̄, empty
āb̄c̄ + abc̄ + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + abc̄, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + abc, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + ābc, āb̄c̄ + ābc, āb̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, bc + āb̄c̄, bc + āb̄c̄, empty
āb̄c̄ + ābc, bc + āb̄c̄, bc + āb̄c̄, empty
āb̄c̄ + ābc + abc̄, āb̄c̄ + ābc + abc̄, āb̄c̄ + ābc + abc̄, empty
āb̄c̄ + ābc + abc̄ + abc, bc + āb̄c̄ + ab, bc + āb̄c̄ + ab, empty
āb̄c̄ + ābc + abc̄, bc + āb̄c̄ + ab, bc + āb̄c̄ + ab, empty
āb̄c̄ + ābc, āb̄c̄ + ābc, āb̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, bc + āb̄c̄ + ab, bc + āb̄c̄, empty
āb̄c̄ + ābc, bc + āb̄c̄, bc + āb̄c̄, empty
āb̄c̄ + ābc + ab̄c, āb̄c̄ + ābc + ab̄c, āb̄c̄ + ābc + ab̄c, empty
āb̄c̄ + ābc + ab̄c + abc, bc + āb̄c̄ + ac, bc + āb̄c̄ + ac, empty
āb̄c̄ + ābc + ab̄c, bc + āb̄c̄ + ac, bc + āb̄c̄ + ac, empty
āb̄c̄ + ābc + ab̄c + abc̄, āb̄c̄ + ābc + ab̄c + abc̄, āb̄c̄ + ābc + ab̄c + abc̄, empty
āb̄c̄ + ābc + ab̄c + abc̄ + abc, bc + āb̄c̄ + ac + ab, bc + āb̄c̄ + ac + ab, empty
āb̄c̄ + ābc + ab̄c + abc̄, bc + āb̄c̄ + ac + ab, bc + āb̄c̄ + ac + ab, empty
āb̄c̄ + ābc + ab̄c, āb̄c̄ + ābc + ab̄c, āb̄c̄ + ābc + ab̄c, empty
āb̄c̄ + ābc + ab̄c + abc, bc + āb̄c̄ + ac + ab, bc + āb̄c̄ + ac, empty
āb̄c̄ + ābc + ab̄c, bc + āb̄c̄ + ac, bc + āb̄c̄ + ac, empty
āb̄c̄ + ābc, āb̄c̄ + ābc, āb̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, bc + āb̄c̄ + ac, bc + āb̄c̄, empty
āb̄c̄ + ābc, bc + āb̄c̄, bc + āb̄c̄, empty
āb̄c̄ + ābc + abc̄, āb̄c̄ + ābc + abc̄, āb̄c̄ + ābc + abc̄, empty
āb̄c̄ + ābc + abc̄ + abc, bc + āb̄c̄ + ac + ab, bc + āb̄c̄ + ab, empty
āb̄c̄ + ābc + abc̄, bc + āb̄c̄ + ab, bc + āb̄c̄ + ab, empty
āb̄c̄ + ābc, āb̄c̄ + ābc, āb̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, bc + āb̄c̄ + ac + ab, bc + āb̄c̄, empty
āb̄c̄ + ābc, bc + āb̄c̄, bc + āb̄c̄, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + ābc, b̄c̄ + ābc, empty
āb̄c̄ + ābc + ab̄c̄ + abc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄ + abc̄, b̄c̄ + ābc + ac̄, b̄c̄ + ābc + ac̄, empty
āb̄c̄ + ābc + ab̄c̄ + abc̄ + abc, b̄c̄ + bc + ac̄ + ab, b̄c̄ + bc + ab, b̄c̄ + bc + ac̄
āb̄c̄ + ābc + ab̄c̄ + abc̄, b̄c̄ + bc + ac̄ + ab, b̄c̄ + bc + ab, b̄c̄ + bc + ac̄
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + ābc + ac̄, b̄c̄ + ābc, empty
āb̄c̄ + ābc + ab̄c̄ + abc, b̄c̄ + bc + ac̄ + ab, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + bc + ac̄, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c, b̄c̄ + ābc + ab̄, b̄c̄ + ābc + ab̄, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c + abc, b̄c̄ + bc + ac + ab̄, b̄c̄ + bc + ab̄, b̄c̄ + bc + ac
āb̄c̄ + ābc + ab̄c̄ + ab̄c, b̄c̄ + bc + ac + ab̄, b̄c̄ + bc + ab̄, b̄c̄ + bc + ac
āb̄c̄ + ābc + ab̄c̄ + ab̄c + abc̄, b̄c̄ + ābc + ac̄ + ab̄, b̄c̄ + ābc + ac̄ + ab̄, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c + abc̄ + abc, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c + abc̄, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c, b̄c̄ + ābc + ac̄ + ab̄, b̄c̄ + ābc + ab̄, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c + abc, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c̄ + ab̄c, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + ābc + ab̄, b̄c̄ + ābc, empty
āb̄c̄ + ābc + ab̄c̄ + abc, b̄c̄ + bc + ac + ab̄, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + bc + ab̄, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄ + abc̄, b̄c̄ + ābc + ac̄ + ab̄, b̄c̄ + ābc + ac̄, empty
āb̄c̄ + ābc + ab̄c̄ + abc̄ + abc, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c̄ + abc̄, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + ābc + ac̄ + ab̄, b̄c̄ + ābc, empty
āb̄c̄ + ābc + ab̄c̄ + abc, b̄c̄ + bc + a, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c̄, b̄c̄ + bc + a, b̄c̄ + bc, empty
āb̄c̄ + ābc, b̄c̄ + ābc, b̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ābc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ābc + abc̄, b̄c̄ + ābc + ac̄, b̄c̄ + ābc + ac̄, empty
āb̄c̄ + ābc + abc̄ + abc, b̄c̄ + bc + ac̄ + ab, b̄c̄ + bc + ab, b̄c̄ + bc + ac̄
āb̄c̄ + ābc + abc̄, b̄c̄ + bc + ac̄ + ab, b̄c̄ + bc + ab, b̄c̄ + bc + ac̄
āb̄c̄ + ābc, b̄c̄ + ābc, b̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, b̄c̄ + bc + ab, b̄c̄ + bc, empty
āb̄c̄ + ābc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ābc + ab̄c, b̄c̄ + ābc + ab̄, b̄c̄ + ābc + ab̄, empty
āb̄c̄ + ābc + ab̄c + abc, b̄c̄ + bc + ac + ab̄, b̄c̄ + bc + ab̄, b̄c̄ + bc + ac
āb̄c̄ + ābc + ab̄c, b̄c̄ + bc + ac + ab̄, b̄c̄ + bc + ab̄, b̄c̄ + bc + ac
āb̄c̄ + ābc + ab̄c + abc̄, b̄c̄ + ābc + ac̄ + ab̄, b̄c̄ + ābc + ac̄ + ab̄, empty
āb̄c̄ + ābc + ab̄c + abc̄ + abc, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c + abc̄, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c, b̄c̄ + ābc + ab̄, b̄c̄ + ābc + ab̄, empty
āb̄c̄ + ābc + ab̄c + abc, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + ab̄c, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc, b̄c̄ + ābc, b̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, b̄c̄ + bc + ac, b̄c̄ + bc, empty
āb̄c̄ + ābc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ābc + abc̄, b̄c̄ + ābc + ac̄, b̄c̄ + ābc + ac̄, empty
āb̄c̄ + ābc + abc̄ + abc, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc + abc̄, b̄c̄ + bc + a, b̄c̄ + bc + a, empty
āb̄c̄ + ābc, b̄c̄ + ābc, b̄c̄ + ābc, empty
āb̄c̄ + ābc + abc, b̄c̄ + bc + a, b̄c̄ + bc, empty
āb̄c̄ + ābc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, bc + āb̄c̄, bc + āb̄c̄, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc̄, āb̄c̄ + abc̄, āb̄c̄ + abc̄, empty
āb̄c̄ + abc̄ + abc, bc + āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄ + abc̄, āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, bc + āb̄c̄ + ab, āb̄c̄ + ab, bc + āb̄c̄
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, empty
āb̄c̄ + ab̄c + abc, bc + āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄ + ab̄c, āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄ + ab̄c + abc̄, āb̄c̄ + ab̄c + abc̄, āb̄c̄ + ab̄c + abc̄, empty
āb̄c̄ + ab̄c + abc̄ + abc, bc + āb̄c̄ + ac + ab, āb̄c̄ + ac + ab, empty
āb̄c̄ + ab̄c + abc̄, āb̄c̄ + ac + ab, āb̄c̄ + ac + ab, empty
āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, āb̄c̄ + ab̄c, empty
āb̄c̄ + ab̄c + abc, bc + āb̄c̄ + ac + ab, āb̄c̄ + ac, empty
āb̄c̄ + ab̄c, āb̄c̄ + ac, āb̄c̄ + ac, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, bc + āb̄c̄ + ac, āb̄c̄ + ac, bc + āb̄c̄
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc̄, āb̄c̄ + abc̄, āb̄c̄ + abc̄, empty
āb̄c̄ + abc̄ + abc, bc + āb̄c̄ + ac + ab, āb̄c̄ + ab, empty
āb̄c̄ + abc̄, āb̄c̄ + ab, āb̄c̄ + ab, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + abc, bc + āb̄c̄ + ac + ab, empty, empty
āb̄c̄, āb̄c̄, āb̄c̄, empty
āb̄c̄ + ab̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + bc, b̄c̄ + bc, empty
āb̄c̄ + ab̄c̄, b̄c̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + ac̄, b̄c̄ + ac̄, empty
āb̄c̄ + ab̄c̄ + abc̄ + abc, b̄c̄ + bc + ac̄ + ab, b̄c̄ + ab, b̄c̄ + bc + ac̄
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + ac̄ + ab, b̄c̄ + ab, b̄c̄ + ac̄
āb̄c̄ + ab̄c̄, b̄c̄ + ac̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + bc + ac̄ + ab, b̄c̄ + ab, b̄c̄ + bc
āb̄c̄ + ab̄c̄, b̄c̄ + ac̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + ab̄, b̄c̄ + ab̄, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc, b̄c̄ + bc + ac + ab̄, b̄c̄ + ac, b̄c̄ + bc + ab̄
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + ac + ab̄, b̄c̄ + ab̄, b̄c̄ + ac
āb̄c̄ + ab̄c̄ + ab̄c + abc̄, b̄c̄ + ac̄ + ab̄, b̄c̄ + ac̄ + ab̄, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc̄ + abc, b̄c̄ + bc + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc̄, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + ac̄ + ab̄, b̄c̄ + ab̄, empty
āb̄c̄ + ab̄c̄ + ab̄c + abc, b̄c̄ + bc + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + ab̄c, b̄c̄ + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄, b̄c̄ + ab̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc, b̄c̄ + bc + ac + ab̄, b̄c̄ + ac, b̄c̄ + bc
āb̄c̄ + ab̄c̄, b̄c̄ + ab̄, b̄c̄, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + ac̄ + ab̄, b̄c̄ + ac̄, empty
āb̄c̄ + ab̄c̄ + abc̄ + abc, b̄c̄ + bc + a, b̄c̄ + a, empty
āb̄c̄ + ab̄c̄ + abc̄, b̄c̄ + a, b̄c̄ + a, empty
