empty, 0, empty, empty
ābc + ab̄c̄ + abc̄ + abc, bc + a, bc + a, empty
ābc + ab̄c̄ + abc̄, bc + a, bc + a, empty
ābc + ab̄c̄, ābc + ac̄ + ab̄, ābc + ab̄, ābc + ac̄
ābc + ab̄c̄ + abc, bc + a, bc + a, empty
ābc + ab̄c̄, bc + a, bc + a, empty
ābc, ābc, ābc, empty
ābc + abc, bc, bc, empty
ābc, bc, bc, empty
ābc + abc̄, ābc + ac̄, ābc + ac̄, empty
ābc + abc̄ + abc, bc + ac̄ + ab, bc + ab, bc + ac̄
ābc + abc̄, bc + ac̄ + ab, bc + ab, bc + ac̄
ābc, ābc, ābc, empty
ābc + abc, bc + ab, bc, empty
ābc, bc, bc, empty
ābc + ab̄c, ābc + ab̄, ābc + ab̄, empty
ābc + ab̄c + abc, bc + ac + ab̄, bc + ab̄, bc + ac
ābc + ab̄c, bc + ac + ab̄, bc + ab̄, bc + ac
ābc + ab̄c + abc̄, ābc + ac̄ + ab̄, ābc + ac̄ + ab̄, empty
ābc + ab̄c + abc̄ + abc, bc + a, bc + a, empty
ābc + ab̄c + abc̄, bc + a, bc + a, empty
ābc + ab̄c, ābc + ab̄, ābc + ab̄, empty
ābc + ab̄c + abc, bc + a, bc + a, empty
ābc + ab̄c, bc + a, bc + a, empty
ābc, ābc, ābc, empty
ābc + abc, bc + ac, bc, empty
ābc, bc, bc, empty
ābc + abc̄, ābc + ac̄, ābc + ac̄, empty
ābc + abc̄ + abc, bc + a, bc + a, empty
ābc + abc̄, bc + a, bc + a, empty
ābc, ābc, ābc, empty
ābc + abc, bc + a, bc, empty
ābc, bc, bc, empty
empty, empty, empty, empty
abc, bc, bc, empty
empty, empty, empty, empty
abc̄, abc̄, abc̄, empty
abc̄ + abc, bc + ab, ab, empty
abc̄, ab, ab, empty
empty, empty, empty, empty
abc, bc + ab, ab, bc
empty, empty, empty, empty
ab̄c, ab̄c, ab̄c, empty
ab̄c + abc, bc + ac, ac, empty
ab̄c, ac, ac, empty
ab̄c + abc̄, ab̄c + abc̄, ab̄c + abc̄, empty
ab̄c + abc̄ + abc, bc + ac + ab, ac + ab, empty
ab̄c + abc̄, ac + ab, ac + ab, empty
ab̄c, ab̄c, ab̄c, empty
ab̄c + abc, bc + ac + ab, ac, empty
ab̄c, ac, ac, empty
empty, empty, empty, empty
abc, bc + ac, ac, bc
empty, empty, empty, empty
abc̄, abc̄, abc̄, empty
abc̄ + abc, bc + ac + ab, ab, empty
abc̄, ab, ab, empty
empty, empty, empty, empty
abc, bc + ac + ab, empty, empty
empty, empty, empty, empty
ab̄c̄, ab̄c̄, ab̄c̄, empty
ab̄c̄ + abc, bc + ab̄c̄, bc + ab̄c̄, empty
ab̄c̄, ab̄c̄, ab̄c̄, empty
ab̄c̄ + abc̄, ac̄, ac̄, empty
ab̄c̄ + abc̄ + abc, bc + ac̄ + ab, ac̄ + ab, bc + ac̄
ab̄c̄ + abc̄, ac̄ + ab, ac̄, empty
ab̄c̄, ac̄, ac̄, empty
ab̄c̄ + abc, bc + ac̄ + ab, ac̄ + ab, bc + ac̄
ab̄c̄, ac̄, ac̄, empty
ab̄c̄ + ab̄c, ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc, bc + ac + ab̄, ac + ab̄, bc + ab̄
ab̄c̄ + ab̄c, ac + ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc̄, ac̄ + ab̄, ac̄ + ab̄, empty
ab̄c̄ + ab̄c + abc̄ + abc, bc + a, a, empty
ab̄c̄ + ab̄c + abc̄, a, a, empty
ab̄c̄ + ab̄c, ac̄ + ab̄, ab̄, empty
ab̄c̄ + ab̄c + abc, bc + a, a, empty
ab̄c̄ + ab̄c, a, a, empty
ab̄c̄, ab̄, ab̄, empty
ab̄c̄ + abc, bc + ac + ab̄, ac + ab̄, bc + ab̄
ab̄c̄, ab̄, ab̄, empty
ab̄c̄ + abc̄, ac̄ + ab̄, ac̄, empty
ab̄c̄ + abc̄ + abc, bc + a, a, empty
ab̄c̄ + abc̄, a, a, empty
ab̄c̄, ac̄ + ab̄, ab̄, ac̄
ab̄c̄ + abc, bc + a, a, empty
ab̄c̄, a, a, empty
empty, empty, empty, empty
abc, bc, bc, empty
empty, empty, empty, empty
abc̄, ac̄, ac̄, empty
abc̄ + abc, bc + ac̄ + ab, ab, bc + ac̄
abc̄, ac̄ + ab, ab, ac̄
empty, empty, empty, empty
abc, bc + ab, ab, bc
empty, empty, empty, empty
ab̄c, ab̄, ab̄, empty
ab̄c + abc, bc + ac + ab̄, ac, bc + ab̄
ab̄c, ac + ab̄, ab̄, ac
ab̄c + abc̄, ac̄ + ab̄, ac̄ + ab̄, empty
ab̄c + abc̄ + abc, bc + a, a, empty
ab̄c + abc̄, a, a, empty
