empty, 0, empty, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ab̄c + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, acd + ab̄c + abd + abc̄, ab̄c + abd + abc̄, acd + ab̄c + abc̄
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, acd + ab̄c + abd + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, acd̄ + ab̄c + abd̄ + abc̄, ab̄c + abd̄ + abc̄, acd̄ + ab̄c + abc̄
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, acd̄ + ab̄c + abd̄ + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄, ab̄c + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, acd + ab̄c + abd + abc̄, ab̄c + abd + abc̄, acd + ab̄c + abc̄
ab̄cd̄ + ab̄cd + abc̄d̄, acd + ab̄c + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, acd̄ + ab̄c + abd̄ + abc̄, ab̄c + abd̄, acd̄ + ab̄c + abc̄
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄, acd̄ + ab̄c + abd̄ + abc̄, ab̄c + abc̄, ab̄c + abd̄
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d̄, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd, ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, acd + ab̄c, acd + ab̄c, empty
ab̄cd̄ + ab̄cd, acd + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd̄, acd̄ + ab̄c + abd̄, ab̄c + abd̄, acd̄ + ab̄c
ab̄cd̄ + ab̄cd + abcd̄ + abcd, ac + abd̄, ac, empty
ab̄cd̄ + ab̄cd + abcd̄, ac + abd̄, ac, empty
ab̄cd̄ + ab̄cd, acd̄ + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, ac, ac, empty
ab̄cd̄ + ab̄cd, ac, ac, empty
ab̄cd̄ + ab̄cd + abc̄d, ab̄c + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd, acd + ab̄c + abd + abc̄, ab̄c + abd, acd + ab̄c + abc̄
ab̄cd̄ + ab̄cd + abc̄d, acd + ab̄c + abd + abc̄, ab̄c + abc̄, ab̄c + abd
ab̄cd̄ + ab̄cd + abc̄d + abcd̄, acd̄ + ab̄c + abd̄ + abc̄, ab̄c + abd̄ + abc̄, acd̄ + ab̄c + abc̄
ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd̄, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d, acd̄ + ab̄c + abc̄, ab̄c + abc̄, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd + abc̄d, ac + ab, ac + ab, empty
ab̄cd̄ + ab̄cd, ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, acd + ab̄c + abd, ab̄c + abd, acd + ab̄c
ab̄cd̄ + ab̄cd, acd + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd̄, acd̄ + ab̄c + abd̄, ab̄c + abd̄, acd̄ + ab̄c
ab̄cd̄ + ab̄cd + abcd̄ + abcd, ac + ab, ac, empty
ab̄cd̄ + ab̄cd + abcd̄, ac + ab, ac, empty
ab̄cd̄ + ab̄cd, acd̄ + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, ac + ab, ac, empty
ab̄cd̄ + ab̄cd, ac, ac, empty
ab̄cd̄, ab̄c, ab̄c, empty
ab̄cd̄ + abcd, acd + ab̄c, acd + ab̄c, empty
ab̄cd̄, ab̄c, ab̄c, empty
ab̄cd̄ + abcd̄, acd̄ + ab̄c, acd̄, empty
ab̄cd̄ + abcd̄ + abcd, ac, ac, empty
