empty, 0, empty, empty
abcd, abcd, abcd, empty
empty, empty, empty, empty
abcd̄, abcd̄, abcd̄, empty
abcd̄ + abcd, abc, abc, empty
abcd̄, abc, abc, empty
empty, empty, empty, empty
abcd, abc, abc, empty
empty, empty, empty, empty
abc̄d, abc̄d, abc̄d, empty
abc̄d + abcd, abd, abd, empty
abc̄d, abd, abd, empty
abc̄d + abcd̄, abc̄d + abcd̄, abc̄d + abcd̄, empty
abc̄d + abcd̄ + abcd, abd + abc, abd + abc, empty
abc̄d + abcd̄, abd + abc, abd + abc, empty
abc̄d, abc̄d, abc̄d, empty
abc̄d + abcd, abd + abc, abd, empty
abc̄d, abd, abd, empty
empty, empty, empty, empty
abcd, abd, abd, empty
empty, empty, empty, empty
abcd̄, abcd̄, abcd̄, empty
abcd̄ + abcd, abd + abc, abc, empty
abcd̄, abc, abc, empty
empty, empty, empty, empty
abcd, abd + abc, abc, abd
empty, empty, empty, empty
abc̄d̄, abc̄d̄, abc̄d̄, empty
abc̄d̄ + abcd, abc̄d̄ + abcd, abc̄d̄ + abcd, empty
abc̄d̄, abc̄d̄, abc̄d̄, empty
abc̄d̄ + abcd̄, abd̄, abd̄, empty
abc̄d̄ + abcd̄ + abcd, abd̄ + abc, abd̄ + abc, empty
abc̄d̄ + abcd̄, abd̄ + abc, abd̄, empty
abc̄d̄, abd̄, abd̄, empty
abc̄d̄ + abcd, abd̄ + abc, abd̄ + abc, empty
abc̄d̄, abd̄, abd̄, empty
abc̄d̄ + abc̄d, abc̄, abc̄, empty
abc̄d̄ + abc̄d + abcd, abd + abc̄, abd + abc̄, empty
abc̄d̄ + abc̄d, abd + abc̄, abc̄, empty
abc̄d̄ + abc̄d + abcd̄, abd̄ + abc̄, abd̄ + abc̄, empty
abc̄d̄ + abc̄d + abcd̄ + abcd, ab, ab, empty
abc̄d̄ + abc̄d + abcd̄, ab, ab, empty
abc̄d̄ + abc̄d, abd̄ + abc̄, abc̄, empty
abc̄d̄ + abc̄d + abcd, ab, ab, empty
abc̄d̄ + abc̄d, ab, ab, empty
abc̄d̄, abc̄, abc̄, empty
abc̄d̄ + abcd, abd + abc̄, abd + abc̄, empty
abc̄d̄, abc̄, abc̄, empty
abc̄d̄ + abcd̄, abd̄ + abc̄, abd̄, empty
abc̄d̄ + abcd̄ + abcd, ab, ab, empty
abc̄d̄ + abcd̄, ab, ab, empty
abc̄d̄, abd̄ + abc̄, abc̄, abd̄
abc̄d̄ + abcd, ab, ab, empty
abc̄d̄, ab, ab, empty
empty, empty, empty, empty
abcd, abcd, abcd, empty
empty, empty, empty, empty
abcd̄, abd̄, abd̄, empty
abcd̄ + abcd, abd̄ + abc, abc, empty
abcd̄, abd̄ + abc, abc, abd̄
empty, empty, empty, empty
abcd, abc, abc, empty
empty, empty, empty, empty
abc̄d, abc̄, abc̄, empty
abc̄d + abcd, abd + abc̄, abd, empty
abc̄d, abd + abc̄, abc̄, abd
abc̄d + abcd̄, abd̄ + abc̄, abd̄ + abc̄, empty
abc̄d + abcd̄ + abcd, ab, ab, empty
abc̄d + abcd̄, ab, ab, empty
abc̄d, abc̄, abc̄, empty
abc̄d + abcd, ab, ab, empty
abc̄d, ab, ab, empty
empty, empty, empty, empty
abcd, abd, abd, empty
empty, empty, empty, empty
abcd̄, abd̄, abd̄, empty
abcd̄ + abcd, ab, ab, empty
abcd̄, ab, ab, empty
empty, empty, empty, empty
abcd, ab, ab, empty
empty, empty, empty, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abcd̄, ab̄cd + abcd̄, ab̄cd + abcd̄, empty
ab̄cd + abcd̄ + abcd, acd + abc, acd + abc, empty
ab̄cd + abcd̄, acd + abc, acd + abc, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd + abc, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abc̄d, ab̄cd + abc̄d, ab̄cd + abc̄d, empty
ab̄cd + abc̄d + abcd, acd + abd, acd + abd, empty
ab̄cd + abc̄d, acd + abd, acd + abd, empty
ab̄cd + abc̄d + abcd̄, ab̄cd + abc̄d + abcd̄, ab̄cd + abc̄d + abcd̄, empty
ab̄cd + abc̄d + abcd̄ + abcd, acd + abd + abc, acd + abd + abc, empty
ab̄cd + abc̄d + abcd̄, acd + abd + abc, acd + abd + abc, empty
ab̄cd + abc̄d, ab̄cd + abc̄d, ab̄cd + abc̄d, empty
ab̄cd + abc̄d + abcd, acd + abd + abc, acd + abd, empty
ab̄cd + abc̄d, acd + abd, acd + abd, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd + abd, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abcd̄, ab̄cd + abcd̄, ab̄cd + abcd̄, empty
ab̄cd + abcd̄ + abcd, acd + abd + abc, acd + abc, empty
ab̄cd + abcd̄, acd + abc, acd + abc, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd + abd + abc, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abc̄d̄, ab̄cd + abc̄d̄, ab̄cd + abc̄d̄, empty
ab̄cd + abc̄d̄ + abcd, acd + abc̄d̄, acd + abc̄d̄, empty
ab̄cd + abc̄d̄, acd + abc̄d̄, acd + abc̄d̄, empty
ab̄cd + abc̄d̄ + abcd̄, ab̄cd + abd̄, ab̄cd + abd̄, empty
ab̄cd + abc̄d̄ + abcd̄ + abcd, acd + abd̄ + abc, acd + abd̄, empty
ab̄cd + abc̄d̄ + abcd̄, acd + abd̄ + abc, acd + abd̄, empty
ab̄cd + abc̄d̄, ab̄cd + abd̄, ab̄cd + abd̄, empty
ab̄cd + abc̄d̄ + abcd, acd + abd̄ + abc, acd + abd̄, empty
ab̄cd + abc̄d̄, acd + abd̄, acd + abd̄, empty
ab̄cd + abc̄d̄ + abc̄d, ab̄cd + abc̄, ab̄cd + abc̄, empty
ab̄cd + abc̄d̄ + abc̄d + abcd, acd + abd + abc̄, acd + abc̄, empty
ab̄cd + abc̄d̄ + abc̄d, acd + abd + abc̄, acd + abc̄, empty
ab̄cd + abc̄d̄ + abc̄d + abcd̄, ab̄cd + abd̄ + abc̄, ab̄cd + abd̄ + abc̄, empty
ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄ + abc̄d + abcd̄, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄ + abc̄d, ab̄cd + abd̄ + abc̄, ab̄cd + abc̄, empty
ab̄cd + abc̄d̄ + abc̄d + abcd, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄ + abc̄d, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄, ab̄cd + abc̄, ab̄cd + abc̄, empty
ab̄cd + abc̄d̄ + abcd, acd + abd + abc̄, acd + abc̄, empty
ab̄cd + abc̄d̄, acd + abc̄, acd + abc̄, empty
ab̄cd + abc̄d̄ + abcd̄, ab̄cd + abd̄ + abc̄, ab̄cd + abd̄, empty
ab̄cd + abc̄d̄ + abcd̄ + abcd, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄ + abcd̄, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄, ab̄cd + abd̄ + abc̄, ab̄cd + abc̄, ab̄cd + abd̄
ab̄cd + abc̄d̄ + abcd, acd + ab, acd + ab, empty
ab̄cd + abc̄d̄, acd + ab, acd + ab, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abcd̄, ab̄cd + abd̄, ab̄cd + abd̄, empty
ab̄cd + abcd̄ + abcd, acd + abd̄ + abc, acd + abc, acd + abd̄
ab̄cd + abcd̄, acd + abd̄ + abc, acd + abc, acd + abd̄
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd + abc, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abc̄d, ab̄cd + abc̄, ab̄cd + abc̄, empty
ab̄cd + abc̄d + abcd, acd + abd + abc̄, acd + abc̄, acd + abd
ab̄cd + abc̄d, acd + abd + abc̄, acd + abc̄, acd + abd
ab̄cd + abc̄d + abcd̄, ab̄cd + abd̄ + abc̄, ab̄cd + abd̄ + abc̄, empty
ab̄cd + abc̄d + abcd̄ + abcd, acd + ab, acd + ab, empty
ab̄cd + abc̄d + abcd̄, acd + ab, acd + ab, empty
ab̄cd + abc̄d, ab̄cd + abc̄, ab̄cd + abc̄, empty
ab̄cd + abc̄d + abcd, acd + ab, acd + ab, empty
ab̄cd + abc̄d, acd + ab, acd + ab, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd + abd, acd, empty
ab̄cd, acd, acd, empty
ab̄cd + abcd̄, ab̄cd + abd̄, ab̄cd + abd̄, empty
ab̄cd + abcd̄ + abcd, acd + ab, acd + ab, empty
ab̄cd + abcd̄, acd + ab, acd + ab, empty
ab̄cd, ab̄cd, ab̄cd, empty
ab̄cd + abcd, acd + ab, acd, empty
ab̄cd, acd, acd, empty
empty, empty, empty, empty
abcd, acd, acd, empty
empty, empty, empty, empty
abcd̄, abcd̄, abcd̄, empty
abcd̄ + abcd, acd + abc, abc, empty
abcd̄, abc, abc, empty
empty, empty, empty, empty
abcd, acd + abc, abc, acd
empty, empty, empty, empty
abc̄d, abc̄d, abc̄d, empty
abc̄d + abcd, acd + abd, abd, empty
abc̄d, abd, abd, empty
abc̄d + abcd̄, abc̄d + abcd̄, abc̄d + abcd̄, empty
abc̄d + abcd̄ + abcd, acd + abd + abc, abd + abc, empty
abc̄d + abcd̄, abd + abc, abd + abc, empty
abc̄d, abc̄d, abc̄d, empty
abc̄d + abcd, acd + abd + abc, abd, empty
abc̄d, abd, abd, empty
empty, empty, empty, empty
abcd, acd + abd, abd, acd
empty, empty, empty, empty
abcd̄, abcd̄, abcd̄, empty
abcd̄ + abcd, acd + abd + abc, abc, empty
abcd̄, abc, abc, empty
empty, empty, empty, empty
abcd, acd + abd + abc, empty, empty
empty, empty, empty, empty
abc̄d̄, abc̄d̄, abc̄d̄, empty
abc̄d̄ + abcd, acd + abc̄d̄, acd + abc̄d̄, empty
abc̄d̄, abc̄d̄, abc̄d̄, empty
abc̄d̄ + abcd̄, abd̄, abd̄, empty
abc̄d̄ + abcd̄ + abcd, acd + abd̄ + abc, abd̄ + abc, acd + abd̄
abc̄d̄ + abcd̄, abd̄ + abc, abd̄, empty
abc̄d̄, abd̄, abd̄, empty
abc̄d̄ + abcd, acd + abd̄ + abc, abd̄ + abc, acd + abd̄
abc̄d̄, abd̄, abd̄, empty
abc̄d̄ + abc̄d, abc̄, abc̄, empty
abc̄d̄ + abc̄d + abcd, acd + abd + abc̄, abd + abc̄, acd + abc̄
abc̄d̄ + abc̄d, abd + abc̄, abc̄, empty
abc̄d̄ + abc̄d + abcd̄, abd̄ + abc̄, abd̄ + abc̄, empty
abc̄d̄ + abc̄d + abcd̄ + abcd, acd + ab, ab, empty
abc̄d̄ + abc̄d + abcd̄, ab, ab, empty
abc̄d̄ + abc̄d, abd̄ + abc̄, abc̄, empty
abc̄d̄ + abc̄d + abcd, acd + ab, ab, empty
abc̄d̄ + abc̄d, ab, ab, empty
abc̄d̄, abc̄, abc̄, empty
abc̄d̄ + abcd, acd + abd + abc̄, abd + abc̄, acd + abc̄
abc̄d̄, abc̄, abc̄, empty
abc̄d̄ + abcd̄, abd̄ + abc̄, abd̄, empty
abc̄d̄ + abcd̄ + abcd, acd + ab, ab, empty
abc̄d̄ + abcd̄, ab, ab, empty
abc̄d̄, abd̄ + abc̄, abc̄, abd̄
abc̄d̄ + abcd, acd + ab, ab, empty
abc̄d̄, ab, ab, empty
empty, empty, empty, empty
abcd, acd, acd, empty
empty, empty, empty, empty
abcd̄, abd̄, abd̄, empty
abcd̄ + abcd, acd + abd̄ + abc, abc, acd + abd̄
abcd̄, abd̄ + abc, abc, abd̄
empty, empty, empty, empty
abcd, acd + abc, abc, acd
empty, empty, empty, empty
abc̄d, abc̄, abc̄, empty
abc̄d + abcd, acd + abd + abc̄, abd, acd + abc̄
abc̄d, abd + abc̄, abc̄, abd
abc̄d + abcd̄, abd̄ + abc̄, abd̄ + abc̄, empty
abc̄d + abcd̄ + abcd, acd + ab, ab, empty
abc̄d + abcd̄, ab, ab, empty
abc̄d, abc̄, abc̄, empty
abc̄d + abcd, acd + ab, ab, empty
abc̄d, ab, ab, empty
empty, empty, empty, empty
abcd, acd + abd, abd, acd
empty, empty, empty, empty
abcd̄, abd̄, abd̄, empty
abcd̄ + abcd, acd + ab, ab, empty
abcd̄, ab, ab, empty
empty, empty, empty, empty
abcd, acd + ab, ab, acd
empty, empty, empty, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd, ab̄cd̄ + abcd, ab̄cd̄ + abcd, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd̄, acd̄, acd̄, empty
ab̄cd̄ + abcd̄ + abcd, acd̄ + abc, acd̄ + abc, empty
ab̄cd̄ + abcd̄, acd̄ + abc, acd̄, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abcd, acd̄ + abc, acd̄ + abc, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abc̄d, ab̄cd̄ + abc̄d, ab̄cd̄ + abc̄d, empty
ab̄cd̄ + abc̄d + abcd, ab̄cd̄ + abd, ab̄cd̄ + abd, empty
ab̄cd̄ + abc̄d, ab̄cd̄ + abd, ab̄cd̄ + abd, empty
ab̄cd̄ + abc̄d + abcd̄, acd̄ + abc̄d, acd̄ + abc̄d, empty
ab̄cd̄ + abc̄d + abcd̄ + abcd, acd̄ + abd + abc, acd̄ + abd, empty
ab̄cd̄ + abc̄d + abcd̄, acd̄ + abd + abc, acd̄ + abd, empty
ab̄cd̄ + abc̄d, acd̄ + abc̄d, acd̄ + abc̄d, empty
ab̄cd̄ + abc̄d + abcd, acd̄ + abd + abc, acd̄ + abd, empty
ab̄cd̄ + abc̄d, acd̄ + abd, acd̄ + abd, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd, ab̄cd̄ + abd, ab̄cd̄ + abd, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd̄, acd̄, acd̄, empty
ab̄cd̄ + abcd̄ + abcd, acd̄ + abd + abc, acd̄ + abc, acd̄ + abd
ab̄cd̄ + abcd̄, acd̄ + abc, acd̄, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abcd, acd̄ + abd + abc, acd̄ + abc, acd̄ + abd
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abc̄d̄, ab̄cd̄ + abc̄d̄, ab̄cd̄ + abc̄d̄, empty
ab̄cd̄ + abc̄d̄ + abcd, ab̄cd̄ + abc̄d̄ + abcd, ab̄cd̄ + abc̄d̄ + abcd, empty
ab̄cd̄ + abc̄d̄, ab̄cd̄ + abc̄d̄, ab̄cd̄ + abc̄d̄, empty
ab̄cd̄ + abc̄d̄ + abcd̄, acd̄ + abd̄, acd̄ + abd̄, empty
ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, acd̄ + abd̄ + abc, acd̄ + abd̄ + abc, empty
ab̄cd̄ + abc̄d̄ + abcd̄, acd̄ + abd̄ + abc, acd̄ + abd̄, empty
ab̄cd̄ + abc̄d̄, acd̄ + abd̄, acd̄ + abd̄, empty
ab̄cd̄ + abc̄d̄ + abcd, acd̄ + abd̄ + abc, acd̄ + abd̄ + abc, empty
ab̄cd̄ + abc̄d̄, acd̄ + abd̄, acd̄ + abd̄, empty
ab̄cd̄ + abc̄d̄ + abc̄d, ab̄cd̄ + abc̄, ab̄cd̄ + abc̄, empty
ab̄cd̄ + abc̄d̄ + abc̄d + abcd, ab̄cd̄ + abd + abc̄, ab̄cd̄ + abd + abc̄, empty
ab̄cd̄ + abc̄d̄ + abc̄d, ab̄cd̄ + abd + abc̄, ab̄cd̄ + abc̄, empty
ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, acd̄ + abd̄ + abc̄, acd̄ + abc̄, empty
ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄ + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄ + abc̄d, acd̄ + abd̄ + abc̄, acd̄ + abc̄, empty
ab̄cd̄ + abc̄d̄ + abc̄d + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄ + abc̄d, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄, ab̄cd̄ + abc̄, ab̄cd̄ + abc̄, empty
ab̄cd̄ + abc̄d̄ + abcd, ab̄cd̄ + abd + abc̄, ab̄cd̄ + abd + abc̄, empty
ab̄cd̄ + abc̄d̄, ab̄cd̄ + abc̄, ab̄cd̄ + abc̄, empty
ab̄cd̄ + abc̄d̄ + abcd̄, acd̄ + abd̄ + abc̄, acd̄ + abc̄, acd̄ + abd̄
ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄ + abcd̄, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄, acd̄ + abd̄ + abc̄, acd̄ + abc̄, acd̄ + abd̄
ab̄cd̄ + abc̄d̄ + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d̄, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd, ab̄cd̄ + abcd, ab̄cd̄ + abcd, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd̄, acd̄ + abd̄, acd̄, empty
ab̄cd̄ + abcd̄ + abcd, acd̄ + abd̄ + abc, acd̄ + abc, empty
ab̄cd̄ + abcd̄, acd̄ + abd̄ + abc, acd̄, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abcd, acd̄ + abc, acd̄ + abc, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abc̄d, ab̄cd̄ + abc̄, ab̄cd̄ + abc̄, empty
ab̄cd̄ + abc̄d + abcd, ab̄cd̄ + abd + abc̄, ab̄cd̄ + abd, empty
ab̄cd̄ + abc̄d, ab̄cd̄ + abd + abc̄, ab̄cd̄ + abc̄, ab̄cd̄ + abd
ab̄cd̄ + abc̄d + abcd̄, acd̄ + abd̄ + abc̄, acd̄ + abc̄, empty
ab̄cd̄ + abc̄d + abcd̄ + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d + abcd̄, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d, acd̄ + abc̄, acd̄ + abc̄, empty
ab̄cd̄ + abc̄d + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abc̄d, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd, ab̄cd̄ + abd, ab̄cd̄ + abd, empty
ab̄cd̄, ab̄cd̄, ab̄cd̄, empty
ab̄cd̄ + abcd̄, acd̄ + abd̄, acd̄, empty
ab̄cd̄ + abcd̄ + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄ + abcd̄, acd̄ + ab, acd̄, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + abcd, acd̄ + ab, acd̄ + ab, empty
ab̄cd̄, acd̄, acd̄, empty
ab̄cd̄ + ab̄cd, ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, acd + ab̄c, acd + ab̄c, empty
ab̄cd̄ + ab̄cd, acd + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd̄, acd̄ + ab̄c, acd̄ + ab̄c, empty
ab̄cd̄ + ab̄cd + abcd̄ + abcd, ac, ac, empty
ab̄cd̄ + ab̄cd + abcd̄, ac, ac, empty
ab̄cd̄ + ab̄cd, acd̄ + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, ac, ac, empty
ab̄cd̄ + ab̄cd, ac, ac, empty
ab̄cd̄ + ab̄cd + abc̄d, ab̄c + abc̄d, ab̄c + abc̄d, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd, acd + ab̄c + abd, ab̄c + abd, empty
ab̄cd̄ + ab̄cd + abc̄d, acd + ab̄c + abd, ab̄c + abd, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd̄, acd̄ + ab̄c + abc̄d, acd̄ + ab̄c + abc̄d, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, ac + abd, ac + abd, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd̄, ac + abd, ac + abd, empty
ab̄cd̄ + ab̄cd + abc̄d, acd̄ + ab̄c + abc̄d, ab̄c + abc̄d, empty
ab̄cd̄ + ab̄cd + abc̄d + abcd, ac + abd, ac + abd, empty
ab̄cd̄ + ab̄cd + abc̄d, ac + abd, ac + abd, empty
ab̄cd̄ + ab̄cd, ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, acd + ab̄c + abd, ab̄c + abd, acd + ab̄c
ab̄cd̄ + ab̄cd, acd + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd̄, acd̄ + ab̄c, acd̄ + ab̄c, empty
ab̄cd̄ + ab̄cd + abcd̄ + abcd, ac + abd, ac, empty
ab̄cd̄ + ab̄cd + abcd̄, ac, ac, empty
ab̄cd̄ + ab̄cd, acd̄ + ab̄c, ab̄c, empty
ab̄cd̄ + ab̄cd + abcd, ac + abd, ac, empty
ab̄cd̄ + ab̄cd, ac, ac, empty
ab̄cd̄ + ab̄cd + abc̄d̄, ab̄c + abc̄d̄, ab̄c + abc̄d̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, acd + ab̄c + abc̄d̄, acd + ab̄c + abc̄d̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄, acd + ab̄c + abc̄d̄, ab̄c + abc̄d̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, acd̄ + ab̄c + abd̄, ab̄c + abd̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, ac + abd̄, ac + abd̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, ac + abd̄, ac + abd̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄, acd̄ + ab̄c + abd̄, ab̄c + abd̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ac + abd̄, ac + abd̄, empty
ab̄cd̄ + ab̄cd + abc̄d̄, ac + abd̄, ac + abd̄, empty
